City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
594,Pasni,PK,78.78,25.2631,63.471,Kashmiri Hotal
595,Sotouboua,TG,74.5,8.5667,0.9833,Auberge Médina
597,Puerto Penasco,MX,74.91,31.3167,-113.5333,Playa Bonita Resort
602,Kishanganj,IN,70.59,26.1167,87.9333,HOTEL SILVERSTAR
605,Kwinana,AU,70.81,-32.25,115.7667,Rockingham Apartments
610,Cartagena Del Chaira,CO,72.52,1.3349,-74.8429,HOTEL LA ROCA
615,Shakawe,BW,76.14,-18.3667,21.85,Ditlhapi Guest House
627,Kainantu,PG,79.09,-6.2887,145.8655,Sylvester buku
632,Ibra,OM,74.16,22.6906,58.5334,مزرعة راحة النفوس المنزفة
633,Monrovia,LR,76.77,6.3005,-10.7969,Sunset Inn
643,Maracacume,BR,73.54,-2.0428,-45.9592,Hotel Ramos
644,Fomboni,KM,78.51,-12.28,43.7425,Auberge les abou
646,Senanga,ZM,73.69,-16.1167,23.2667,Zango lodge
649,Misratah,LY,71.24,32.3754,15.0925,Almasa Hotel
653,Adre,TD,72.75,13.4667,22.2,
660,Guane,CU,74.23,22.2025,-84.0875,base de Campismo LosPortales de Guane
662,Ode,NG,70.18,7.7899,5.7117,MORALAB HOTEL
665,Petauke,ZM,70.34,-14.2426,31.3253,Newline Lodge
667,Cap Malheureux,MU,71.47,-19.9842,57.6142,Pereybere Hotel & Spa
672,Clarence Town,AU,70.63,-32.5833,151.7833,River Downs Cottage
675,Wanning,CN,78.64,18.8003,110.3967,Paradise Hotel
676,Jaciara,BR,71.51,-15.9653,-54.9683,Taba Hotel
682,Nileshwar,IN,78.37,12.25,75.1,Neeleshwar Hermitage
684,Birao,CF,73.31,10.2849,22.7882,
688,Barra Patuca,HN,79.54,15.8,-84.2833,
